State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,17363,2854,560,13949,28/04/2020 17:57:25,TT,0,0,0,
Maharashtra,4238,507,223,3508,28/04/2020 17:57:26,MH,0,0,0,
Delhi,2003,290,45,1668,28/04/2020 17:57:27,DL,0,0,0,
Gujarat,1743,105,63,1575,28/04/2020 17:57:29,GJ,0,0,0,
Rajasthan,1478,205,23,1250,28/04/2020 17:57:30,RJ,0,0,0,
Tamil Nadu,1477,411,15,1051,28/04/2020 17:57:31,TN,0,0,0,
Madhya Pradesh,1411,131,72,1208,28/04/2020 17:57:32,MP,0,0,0,
Uttar Pradesh,1112,127,17,968,28/04/2020 17:57:33,UP,0,0,0,
Telangana,858,186,21,651,28/04/2020 17:57:34,TG,0,0,0,
Andhra Pradesh,649,65,17,567,28/04/2020 17:57:35,AP,0,0,0,
Karnataka,390,111,16,263,28/04/2020 17:57:36,KA,0,0,0,
Kerala,402,270,3,129,28/04/2020 17:57:38,KL,0,0,0,
Jammu and Kashmir,354,56,5,293,28/04/2020 17:57:39,JK,0,0,0,
West Bengal,310,62,12,236,28/04/2020 17:57:50,WB,0,0,0,"As WB state bulletin only reports the number of active cases, the numbers for WB are currently updated according to https://www.mohfw.gov.in"
Haryana,250,104,3,143,28/04/2020 17:57:51,HR,0,0,0,1 death in Ambala unaccounted.
Punjab,246,37,16,193,28/04/2020 17:57:52,PB,0,0,0,
Bihar,96,42,2,52,28/04/2020 17:57:54,BR,0,0,0,
Odisha,61,24,1,36,28/04/2020 17:57:55,OR,0,0,0,
Uttarakhand,44,11,0,33,28/04/2020 17:57:55,UT,0,0,0,
Jharkhand,41,0,2,39,28/04/2020 17:57:56,JH,0,0,0,
Himachal Pradesh,39,16,2,21,28/04/2020 17:57:58,HP,0,0,0,Death of Tibetan refugee included
Chhattisgarh,36,25,0,11,28/04/2020 17:57:59,CT,0,0,0,
Assam,35,17,1,17,28/04/2020 17:58:00,AS,0,0,0,Includes one case from Nagaland
Chandigarh,26,13,0,13,28/04/2020 17:58:03,CH,0,0,0,
Ladakh,18,14,0,4,28/04/2020 17:58:04,LA,0,0,0,
Andaman and Nicobar Islands,15,11,0,4,28/04/2020 17:58:05,AN,0,0,0,
Meghalaya,11,0,1,10,28/04/2020 17:58:06,ML,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Puducherry,7,4,0,3,27/04/2020 23:22:43,PY,0,0,0,
Manipur,2,1,0,1,28/04/2020 17:58:07,MN,0,0,0,
Tripura,2,1,0,1,28/04/2020 17:58:08,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
